hh,mm,x (min in day),y0,y1,y2
20,45,1245,4995.787,166316.809,0.394
20,48,1248,11861.734,250353.434,0.751
20,51,1251,1648.851,31083.064,0.191
20,54,1254,6577.822,290585.426,0.955
20,57,1257,2850.173,89296.444,0.42
21,0,1260,2901.52,85430.643,0.345
21,3,1263,1033.708,22483.056,0.169
21,6,1266,2896.706,40901.02,0.431
21,9,1269,3579.139,84298.127,0.475
21,12,1272,1300.486,31920.971,0.191
21,15,1275,936.253,23382.274,0.153
21,18,1278,2123.482,61650.918,0.335
21,21,1281,17177.187,508404.527,1.786
21,24,1284,1265.627,23070.734,0.147
21,27,1287,6158.783,492059.435,0.429
21,30,1290,890.215,15688.271,0.113
21,33,1293,3571.416,104950.427,0.438
21,36,1296,1664.756,34701.022,0.3
21,39,1299,3353.89,182948.835,0.407
21,42,1302,820.141,20870.312,0.121
21,45,1305,1140.327,54445.484,0.126
21,48,1308,2605.246,49154.71,0.443
21,51,1311,1254.793,43118.972,0.179
21,54,1314,1020.638,26324.831,0.111
21,57,1317,691.252,17434.426,0.097
22,0,1320,946.346,25741.423,0.139
22,3,1323,1148.295,37113.933,0.201
22,6,1326,5280.667,203658.711,0.45
22,9,1329,959.385,29802.374,0.137
22,12,1332,1524,32359.955,0.236
22,15,1335,852.022,24896.751,0.133
22,18,1338,7532.603,171049.385,0.693
22,21,1341,11959.607,384535.257,1.328
22,24,1344,603.888,17648.849,0.089
22,27,1347,1391.061,31913.117,0.207
22,30,1350,6373.467,209404.4,0.794
22,33,1353,1297.698,22774.346,0.246
22,36,1356,690.089,19780.133,0.1
22,39,1359,2033.282,38932.862,0.337
22,42,1362,19306.608,581747.934,1.215
22,45,1365,1611.397,14414.615,0.374
22,48,1368,1481.564,17728.358,0.324
22,51,1371,1450.873,32026.475,0.298
22,54,1374,894.178,15186.311,0.161
22,57,1377,1320.088,19462.901,0.286
23,0,1380,1925.079,48097.933,0.27
23,3,1383,10525.039,206673.061,0.873
23,6,1386,878.607,13932.989,0.169
23,9,1389,1357.714,40924.264,0.225
23,12,1392,3493.749,67233.809,0.412
23,15,1395,784.147,17143.656,0.11
23,18,1398,1000.429,37551.649,0.117
23,21,1401,1729.933,46105.663,0.258
23,24,1404,711.268,16879.32,0.091
23,27,1407,953.733,25313.6,0.133
23,30,1410,742.751,21845.907,0.118
23,33,1413,2376.325,54486.504,0.39
23,36,1416,1225.049,27265.825,0.175
23,39,1419,996.484,19878.624,0.191
23,42,1422,1976.904,41533.74,0.311
23,45,1425,1781.171,41608.309,0.276
